	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d	QA1_T3_Barefoot6.c3d
	Left Ankle Angular Position	Left Ankle Angular Position	Left Ankle Angular Position	Left Foot Progression	Left Foot Progression	Left Foot Progression	Left Hip Angular Position	Left Hip Angular Position	Left Hip Angular Position	Left Knee Angular Position	Left Knee Angular Position	Left Knee Angular Position	LeftGRF	LeftGRF	LeftGRF	Norm Left Ankle Joint Power	Norm Left Ankle Joint Power	Norm Left Ankle Joint Power	Norm Left Ankle Joint Torque	Norm Left Ankle Joint Torque	Norm Left Ankle Joint Torque	Norm Left Hip Joint Power	Norm Left Hip Joint Power	Norm Left Hip Joint Power	Norm Left Hip Joint Torque	Norm Left Hip Joint Torque	Norm Left Hip Joint Torque	Norm Left Knee Joint Power	Norm Left Knee Joint Power	Norm Left Knee Joint Power	Norm Left Knee Joint Torque	Norm Left Knee Joint Torque	Norm Left Knee Joint Torque	Norm Right Ankle Joint Power	Norm Right Ankle Joint Power	Norm Right Ankle Joint Power	Norm Right Ankle Joint Torque	Norm Right Ankle Joint Torque	Norm Right Ankle Joint Torque	Norm Right Hip Joint Power	Norm Right Hip Joint Power	Norm Right Hip Joint Power	Norm Right Hip Joint Torque	Norm Right Hip Joint Torque	Norm Right Hip Joint Torque	Norm Right Knee Joint Power	Norm Right Knee Joint Power	Norm Right Knee Joint Power	Norm Right Knee Joint Torque	Norm Right Knee Joint Torque	Norm Right Knee Joint Torque	Pelvis Left Angular Position	Pelvis Left Angular Position	Pelvis Left Angular Position	Pelvis Right Angular Position	Pelvis Right Angular Position	Pelvis Right Angular Position	Right Ankle Angular Position	Right Ankle Angular Position	Right Ankle Angular Position	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Hip Angular Position	Right Hip Angular Position	Right Hip Angular Position	Right Knee Angular Position	Right Knee Angular Position	Right Knee Angular Position	RightGRF	RightGRF	RightGRF	Trunk Left Position	Trunk Left Position	Trunk Left Position	Trunk Right Position	Trunk Right Position	Trunk Right Position
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	3.110016	0.742178	-9.642867	3.452547	0.756728	-3.695426	42.804966	-3.954657	6.106638	27.687319	-1.464840	-7.713852	-17.061642	7.442036	25.925276	0.022900	-0.016758	-0.002613	-0.029032	0.010909	0.007827	-0.020835	0.005860	0.055574	-0.032290	0.063489	0.040175	-0.004916	-0.021407	0.006642	0.005770	0.036295	-0.009801	-0.005707	-0.076597	0.018650	0.012425	0.048812	0.011225	0.021397	0.058764	0.048481	0.078210	0.149498	0.093225	-0.026408	-0.065204	0.049075	0.033962	0.094349	-0.027775	15.901630	-3.048255	11.208813	19.025213	-0.091008	13.154304	1.625950	3.115901	-9.584145	3.040363	1.659278	-10.434003	43.883621	-5.777892	-2.958217	24.103447	-1.970722	-8.169360	-37.663460	-6.410584	83.956161	6.136475	-0.395836	6.920770	5.332469	3.859684	-5.363237
2	3.674334	-0.053370	-9.863195	2.991434	1.712948	-3.218953	42.517323	-3.317108	6.581925	28.263226	-1.641181	-8.135866	-33.082119	17.208023	233.200394	-0.000193	-0.063284	-0.020478	0.000150	0.052571	0.034783	0.206647	0.062980	0.073532	0.422505	0.156254	0.049827	-0.268482	-0.110411	0.017062	0.228067	0.156380	-0.037923	-0.022229	-0.129125	-0.002043	0.021043	0.089913	-0.001655	0.151804	0.226875	0.096044	1.005100	0.395482	0.119651	0.216568	-0.138707	0.131047	-0.166577	0.203243	-0.097623	16.236742	-2.710233	11.471138	19.272060	0.090694	13.090556	2.021204	2.287762	-8.718740	2.405561	0.881538	-10.253478	43.776859	-5.338757	-2.889953	24.739620	-1.958312	-9.121807	-7.452275	-11.642899	213.498306	5.513363	-0.943547	7.002283	4.844062	3.387233	-5.152245
3	4.472101	-0.598776	-10.209276	2.588312	2.450775	-2.864819	42.319633	-2.499585	7.015160	29.016367	-1.918786	-8.520036	-14.508764	7.320015	270.537384	-0.085192	-0.032947	-0.014601	0.053032	0.052386	0.019014	0.247099	-0.000021	-0.169649	0.818394	-0.003861	-0.099508	-0.136032	-0.085588	0.012890	0.090187	0.103270	-0.032829	-0.016223	-0.089599	-0.007611	0.009309	0.082641	-0.011478	0.071722	0.268311	0.095576	1.218155	0.369878	0.080512	0.445349	-0.106848	0.080411	-0.262562	0.179602	-0.103978	16.651258	-2.297857	11.622158	19.585464	0.336455	12.876427	2.766863	1.601442	-8.134879	1.836845	0.158026	-10.055795	43.739052	-4.706643	-2.753258	25.626053	-2.034187	-9.809384	16.596306	-9.462973	202.903976	4.824053	-1.494402	7.008592	4.288508	2.897857	-5.025358
4	5.437160	-0.806215	-10.635658	2.229837	2.869256	-2.612682	42.232430	-1.509915	7.513055	29.910213	-2.213867	-8.958088	-14.907649	2.170989	261.177521	-0.214437	0.000139	-0.016274	0.115425	0.052783	0.019598	0.062937	-0.105456	-0.346662	0.740578	-0.145567	-0.164877	-0.174393	-0.050841	0.003996	0.104470	0.060567	-0.008009	-0.082115	-0.061292	-0.002018	0.043488	0.092724	0.013249	0.045822	0.160841	0.049310	0.930122	0.195150	0.030942	0.131486	-0.055790	0.009883	-0.074004	0.145873	-0.056662	17.123837	-1.801686	11.635797	19.945913	0.664284	12.502754	3.748882	1.129119	-7.947610	1.366781	-0.420081	-9.843595	43.738701	-3.868823	-2.498739	26.622253	-2.173477	-10.169380	2.982826	-4.965843	208.296478	4.091704	-2.047533	6.941344	3.692947	2.388269	-4.992384
5	6.490110	-0.693016	-11.119219	1.897355	2.949941	-2.428717	42.246460	-0.377503	8.180341	30.882433	-2.404829	-9.493155	-31.405767	2.639269	287.237213	-0.374943	0.031840	-0.045405	0.191646	0.061017	0.051596	-0.034421	-0.159424	-0.423406	0.548549	-0.242235	-0.171783	-0.472217	-0.042001	-0.028457	0.273176	0.063105	0.035449	-0.161683	-0.031593	-0.048151	0.080364	0.108169	0.049330	0.079165	-0.004424	-0.061768	0.637722	-0.004811	-0.030243	-0.316896	-0.006294	0.004189	0.192002	0.115464	0.008491	17.625668	-1.216921	11.492221	20.328089	1.088279	11.970256	4.843022	0.853328	-8.228307	0.997633	-0.810834	-9.625507	43.724865	-2.830050	-2.097319	27.587694	-2.320586	-10.165943	-19.756218	0.181548	244.714691	3.337914	-2.604452	6.802516	3.085727	1.854426	-5.060796
6	7.573368	-0.354809	-11.658621	1.580156	2.737197	-2.288397	42.312244	0.853669	9.045742	31.850605	-2.392041	-10.091191	-42.843727	2.752029	300.708069	-0.515627	0.055976	-0.065811	0.260934	0.065568	0.071596	-0.051623	-0.178628	-0.534314	0.403876	-0.321950	-0.190961	-0.640629	-0.021611	-0.069479	0.391704	0.058368	0.067432	-0.263535	-0.000091	-0.106400	0.130319	0.124078	0.063357	0.110231	-0.106882	-0.174144	0.386459	-0.114027	-0.072623	-0.566340	0.038457	0.027783	0.406795	0.112645	0.034494	18.127071	-0.546470	11.188122	20.708296	1.615253	11.294985	5.968387	0.710733	-8.970595	0.719122	-1.010087	-9.416612	43.641758	-1.615445	-1.553471	28.422087	-2.416177	-9.813207	-38.659809	0.836820	272.504242	2.580351	-3.168464	6.595661	2.491739	1.292328	-5.233856
